Ethereum Historical Data - Investing.com(1)
Date;Price
Feb 18, 2021;1,934.16
Feb 17, 2021;1,847.95
Feb 16, 2021;1,781.69
Feb 15, 2021;1,778.82
Feb 14, 2021;1,801.78
Feb 13, 2021;1,815.49
Feb 12, 2021;1,841.02
Feb 11, 2021;1,786.35
Feb 10, 2021;1,742.09
Feb 09, 2021;1,770.63
Feb 08, 2021;1,750.18
Feb 07, 2021;1,612.99
Feb 06, 2021;1,676.63
Feb 05, 2021;1,719.20
Feb 04, 2021;1,594.00
Feb 03, 2021;1,664.34
Feb 02, 2021;1,511.36
Feb 01, 2021;1,373.40
Jan 31, 2021;1,312.73
Jan 30, 2021;1,376.96
Jan 29, 2021;1,379.30
Jan 28, 2021;1,328.47
Jan 27, 2021;1,247.62
Jan 26, 2021;1,366.27
Jan 25, 2021;1,317.90
Jan 24, 2021;1,390.28
Jan 23, 2021;1,233.40
Jan 22, 2021;1,234.58
Jan 21, 2021;1,117.33
Jan 20, 2021;1,377.53
Jan 19, 2021;1,372.00
Jan 18, 2021;1,258.06
Jan 17, 2021;1,232.64
Jan 16, 2021;1,228.27
Jan 15, 2021;1,171.68
Jan 14, 2021;1,226.17
Jan 13, 2021;1,128.46
Jan 12, 2021;1,050.19
Jan 11, 2021;1,091.47
Jan 10, 2021;1,256.04
Jan 09, 2021;1,275.58
Jan 08, 2021;1,215.73
Jan 07, 2021;1,224.35
Jan 06, 2021;1,207.77
Jan 05, 2021;1,099.52
Jan 04, 2021;1,042.40
Jan 03, 2021;974.97
Jan 02, 2021;774.50
Jan 01, 2021;729.12
Dec 31, 2020;735.94
Dec 30, 2020;751.80
Dec 29, 2020;731.76
Dec 28, 2020;730.05
Dec 27, 2020;683.71
Dec 26, 2020;636.58
Dec 25, 2020;626.93
Dec 24, 2020;612.34
Dec 23, 2020;585.69
Dec 22, 2020;637.47
Dec 21, 2020;607.85
Dec 20, 2020;638.26
Dec 19, 2020;658.17
Dec 18, 2020;653.85
Dec 17, 2020;643.17
Dec 16, 2020;637.38
Dec 15, 2020;588.91
Dec 14, 2020;586.19
Dec 13, 2020;591.09
Dec 12, 2020;567.78
Dec 11, 2020;544.17
Dec 10, 2020;558.13
Dec 09, 2020;573.21
Dec 08, 2020;555.05
Dec 07, 2020;591.09
Dec 06, 2020;601.68
Dec 05, 2020;596.68
Dec 04, 2020;567.91
Dec 03, 2020;616.32
Dec 02, 2020;598.05
Dec 01, 2020;585.66
Nov 30, 2020;615.92
Nov 29, 2020;575.45
Nov 28, 2020;537.74
Nov 27, 2020;518.11
Nov 26, 2020;519.32
Nov 25, 2020;569.67
Nov 24, 2020;605.03
Nov 23, 2020;609.22
Nov 22, 2020;559.40
Nov 21, 2020;551.91
Nov 20, 2020;509.98
Nov 19, 2020;471.21
Nov 18, 2020;478.52
Nov 17, 2020;481.95
Nov 16, 2020;460.43
Nov 15, 2020;448.23
Nov 14, 2020;460.70
Nov 13, 2020;476.29
Nov 12, 2020;462.56
Nov 11, 2020;463.33
Nov 10, 2020;450.22
Nov 09, 2020;444.33
Nov 08, 2020;454.68
Nov 07, 2020;435.40
Nov 06, 2020;455.72
Nov 05, 2020;416.63
Nov 04, 2020;402.19
Nov 03, 2020;387.92
Nov 02, 2020;383.53
Nov 01, 2020;396.29
Oct 31, 2020;386.42
Oct 30, 2020;382.41
Oct 29, 2020;386.76
Oct 28, 2020;388.14
Oct 27, 2020;403.15
Oct 26, 2020;394.11
Oct 25, 2020;406.09
Oct 24, 2020;411.92
Oct 23, 2020;408.52
Oct 22, 2020;414.05
Oct 21, 2020;391.20
Oct 20, 2020;368.35
Oct 19, 2020;379.19
Oct 18, 2020;377.81
Oct 17, 2020;368.63
Oct 16, 2020;365.17
Oct 15, 2020;377.45
Oct 14, 2020;379.15
Oct 13, 2020;381.23
Oct 12, 2020;386.68
Oct 11, 2020;374.19
Oct 10, 2020;370.16
Oct 09, 2020;365.28
Oct 08, 2020;350.83
Oct 07, 2020;341.48
Oct 06, 2020;340.61
Oct 05, 2020;353.28
Oct 04, 2020;352.73
Oct 03, 2020;345.60
Oct 02, 2020;345.68
Oct 01, 2020;353.07
Sep 30, 2020;359.39
Sep 29, 2020;359.86
Sep 28, 2020;354.08
Sep 27, 2020;357.23
Sep 26, 2020;354.25
Sep 25, 2020;351.63
Sep 24, 2020;349.17
Sep 23, 2020;319.95
Sep 22, 2020;344.03
Sep 21, 2020;341.30
Sep 20, 2020;371.12
Sep 19, 2020;385.25
Sep 18, 2020;384.20
Sep 17, 2020;388.97
Sep 16, 2020;364.88
Sep 15, 2020;364.01
Sep 14, 2020;376.70
Sep 13, 2020;365.71
Sep 12, 2020;387.98
Sep 11, 2020;373.72
Sep 10, 2020;367.92
Sep 09, 2020;351.10
Sep 08, 2020;337.46
Sep 07, 2020;352.06
Sep 06, 2020;353.49
Sep 05, 2020;334.91
Sep 04, 2020;385.94
Sep 03, 2020;381.97
Sep 02, 2020;439.08
Sep 01, 2020;475.80
Aug 31, 2020;433.90
Aug 30, 2020;428.86
Aug 29, 2020;398.80
Aug 28, 2020;395.11
Aug 27, 2020;383.11
Aug 26, 2020;385.96
Aug 25, 2020;383.20
Aug 24, 2020;407.70
Aug 23, 2020;390.50
Aug 22, 2020;395.56
Aug 21, 2020;387.99
Aug 20, 2020;416.05
Aug 19, 2020;407.44
Aug 18, 2020;422.16
Aug 17, 2020;430.56
Aug 16, 2020;433.63
Aug 15, 2020;432.18
Aug 14, 2020;438.03
Aug 13, 2020;424.31
Aug 12, 2020;387.12
Aug 11, 2020;379.01
Aug 10, 2020;395.53
Aug 09, 2020;390.23
Aug 08, 2020;396.76
Aug 07, 2020;379.57
Aug 06, 2020;394.83
Aug 05, 2020;400.79
Aug 04, 2020;389.62
Aug 03, 2020;385.80
Aug 02, 2020;372.08
Aug 01, 2020;387.14
Jul 31, 2020;346.51
Jul 30, 2020;334.87
Jul 29, 2020;317.82
Jul 28, 2020;316.96
Jul 27, 2020;321.80
Jul 26, 2020;311.13
Jul 25, 2020;305.32
Jul 24, 2020;279.33
Jul 23, 2020;275.34
Jul 22, 2020;263.28
Jul 21, 2020;245.53
Jul 20, 2020;236.10
Jul 19, 2020;239.01
Jul 18, 2020;235.75
Jul 17, 2020;232.75
Jul 16, 2020;233.65
Jul 15, 2020;238.62
Jul 14, 2020;240.50
Jul 13, 2020;239.73
Jul 12, 2020;242.75
Jul 11, 2020;239.20
Jul 10, 2020;241.26
Jul 09, 2020;242.02
Jul 08, 2020;246.99
Jul 07, 2020;239.25
Jul 06, 2020;241.56
Jul 05, 2020;227.98
Jul 04, 2020;229.15
Jul 03, 2020;225.12
Jul 02, 2020;226.42
Jul 01, 2020;230.95
Jun 30, 2020;225.63
Jun 29, 2020;227.87
Jun 28, 2020;225.09
Jun 27, 2020;221.06
Jun 26, 2020;229.67
Jun 25, 2020;232.56
Jun 24, 2020;234.75
Jun 23, 2020;243.20
Jun 22, 2020;243.25
Jun 21, 2020;228.13
Jun 20, 2020;228.86
Jun 19, 2020;229.11
Jun 18, 2020;231.34
Jun 17, 2020;233.88
Jun 16, 2020;235.36
Jun 15, 2020;230.93
Jun 14, 2020;232.02
Jun 13, 2020;238.22
Jun 12, 2020;237.54
Jun 11, 2020;230.71
Jun 10, 2020;247.78
Jun 09, 2020;243.82
Jun 08, 2020;246.18
Jun 07, 2020;244.56
Jun 06, 2020;242.00
Jun 05, 2020;240.23
Jun 04, 2020;243.37
Jun 03, 2020;244.52
Jun 02, 2020;237.94
Jun 01, 2020;247.97
May 31, 2020;231.81
May 30, 2020;243.63
May 29, 2020;220.66
May 28, 2020;220.18
May 27, 2020;208.18
May 26, 2020;201.00
May 25, 2020;204.13
May 24, 2020;199.97
May 23, 2020;206.62
May 22, 2020;207.35
May 21, 2020;198.75
May 20, 2020;209.99
May 19, 2020;214.51
May 18, 2020;214.87
May 17, 2020;207.00
May 16, 2020;200.51
May 15, 2020;194.85
May 14, 2020;203.30
May 13, 2020;199.58
May 12, 2020;189.84
May 11, 2020;185.96
May 10, 2020;187.78
May 09, 2020;210.22
May 08, 2020;211.45
May 07, 2020;212.00
May 06, 2020;199.04
May 05, 2020;205.36
May 04, 2020;206.61
May 03, 2020;209.83
May 02, 2020;213.96
May 01, 2020;212.00
Apr 30, 2020;206.22
Apr 29, 2020;215.40
Apr 28, 2020;196.55
Apr 27, 2020;196.14
Apr 26, 2020;197.35
Apr 25, 2020;194.01
Apr 24, 2020;187.58
Apr 23, 2020;185.46
Apr 22, 2020;182.72
Apr 21, 2020;170.79
Apr 20, 2020;170.40
Apr 19, 2020;180.13
Apr 18, 2020;187.45
Apr 17, 2020;170.63
Apr 16, 2020;172.31
Apr 15, 2020;152.90
Apr 14, 2020;158.45
Apr 13, 2020;156.38
Apr 12, 2020;158.73
