,Type,Punk,From,To,Amount,Txn
0,Bid Withdrawn,0,0xe73a1d,,321Ξ ($1.26M),"Sep 04, 2021"
1,Bid,0,0xe73a1d,,321Ξ ($1.14M),"Sep 01, 2021"
2,Bid Withdrawn,0,0x2e5e22,,320Ξ ($1.11M),"Sep 01, 2021"
3,Bid,0,0x2e5e22,,320Ξ ($1.1M),"Sep 01, 2021"
4,Bid Withdrawn,0,0x2e5e22,,"263Ξ ($904,481)","Sep 01, 2021"
5,Bid,0,0x2e5e22,,"263Ξ ($849,714)","Aug 29, 2021"
6,Bid Withdrawn,0,0x983ace,,250Ξ ($1.03M),"May 10, 2021"
7,Bid,0,0x983ace,,"250Ξ ($537,615)","Apr 11, 2021"
8,Bid Withdrawn,0,0xd7510a,,"100Ξ ($160,973)","Mar 03, 2021"
9,Bid,0,0xd7510a,,"100Ξ ($188,897)","Feb 20, 2021"
10,Bid Withdrawn,0,natealex,,"69Ξ ($25,532)","Sep 16, 2020"
11,Bid,0,natealex,,"69Ξ ($25,104)","Sep 15, 2020"
12,Bid Withdrawn,0,natealex,,"49Ξ ($7,031)","Jan 11, 2020"
13,Bid,0,natealex,,"49Ξ ($6,786)","Jan 09, 2020"
14,Bid Withdrawn,0,natealex,,"44Ξ ($6,329)","Jan 08, 2020"
15,Bid,0,natealex,,"44Ξ ($5,905)","Dec 30, 2019"
16,Bid Withdrawn,0,natealex,,0Ξ ($1),"Dec 30, 2019"
17,Bid,0,natealex,,0Ξ ($1),"Dec 30, 2019"
18,Bid Withdrawn,0,GoWest23,,"18.50Ξ ($4,544)","May 23, 2019"
19,Bid,0,GoWest23,,"18.50Ξ ($4,504)","May 22, 2019"
20,Bid Withdrawn,0,PsyRen,,"40Ξ ($6,597)","Apr 02, 2019"
21,Bid,0,PsyRen,,"40Ξ ($6,597)","Apr 02, 2019"
22,Sold,0,0xf5099e,0xe08c32,"25Ξ ($2,822)","Nov 30, 2018"
23,Bid,0,0xe08c32,,"25Ξ ($2,822)","Nov 30, 2018"
24,Offered,0,,,"100Ξ ($18,303)","Sep 12, 2018"
25,Offered,0,,,"200Ξ ($138,566)","Dec 16, 2017"
26,Bid,0,0x7760e0,,"13Ξ ($3,132)","Jul 07, 2017"
27,Bid,0,0x00d7c9,,"13Ξ ($3,132)","Jul 07, 2017"
28,Offered,0,,,"400Ξ ($96,376)","Jul 07, 2017"
