,etherscan,opensea,owned,ethereums_spent,dollar_spent,ethereums_earned,dollar_earned,First_punk,Last_punk
1981,0x158b0a,0,1,24.0,82113.0,0.0,0.0,"Apr 19, 2021","Apr 19, 2021"
1982,0x3db26e,0,1,0.83,2840.0,0.0,0.0,"Sep 9, 2020","Sep 9, 2020"
1983,0x0bb14d,0,1,0.0,0.0,0.0,0.0,"Mar 21, 2021","Mar 21, 2021"
1984,0x7f9b1c,0,1,99.0,338715.0,0.0,0.0,none,none
1985,0x46b2bd,0,1,38.33,131141.0,0.0,0.0,"Apr 29, 2021","Apr 29, 2021"
1986,0xbb5eb7,0,1,20.0,68427.0,0.0,0.0,"Mar 5, 2021","Mar 5, 2021"
1987,0xaa75b8,0,1,78.5,268577.0,0.0,0.0,none,none
1988,0x539885,0,1,59.0,201860.0,0.0,0.0,"Aug 21, 2021","Aug 21, 2021"
1989,0xa5c3a5,0,1,50.0,171068.0,0.0,0.0,"Aug 21, 2021","Aug 21, 2021"
1990,0x55758f,0,1,20.25,69283.0,0.0,0.0,"Mar 24, 2021","Mar 24, 2021"
1991,0x91254a,0,1,18.98,64937.0,0.0,0.0,"Jul 8, 2021","Jul 8, 2021"
1992,0xd32ac7,0,1,118.27,404644.0,0.0,0.0,none,none
1993,0x22aa3f,0,1,178.98,612355.0,235.0,804020.0,"Aug 10, 2021","Aug 23, 2021"
1994,0x7989e7,0,1,22.0,75270.0,0.0,0.0,"Apr 9, 2021","Apr 9, 2021"
1995,0x54685c,0,1,17.0,58163.0,0.0,0.0,"Apr 1, 2021","Apr 1, 2021"
1996,0x42f913,0,1,32.99,112871.0,0.0,0.0,"Apr 9, 2021","Apr 9, 2021"
1997,0x67c753,0,1,58.89,201484.0,100.0,342136.0,"Jul 16, 2021","Aug 1, 2021"
1998,0x1668c9,0,1,0.0,0.0,0.0,0.0,none,none
1999,0x87d3a7,0,1,27.99,95764.0,0.0,0.0,"May 1, 2021","May 1, 2021"
2000,0xeafc83,0,1,0.0,0.0,0.0,0.0,none,none
2001,0x47b78a,0,1,50.0,171068.0,0.0,0.0,"Apr 11, 2021","Apr 11, 2021"
2002,0xefd6c7,0,1,0.0,0.0,0.0,0.0,"Apr 18, 2021","Apr 18, 2021"
2003,0x2cb6be,0,1,21.0,71849.0,0.0,0.0,"Jun 30, 2021","Jun 30, 2021"
2004,0xa29066,0,1,59.78,204519.0,0.0,0.0,"Aug 1, 2021","Aug 1, 2021"
2005,0x6be421,0,1,0.0,0.0,0.0,0.0,none,none
2006,0xb78305,0,1,142.69,488194.0,0.0,0.0,"Aug 23, 2021","Aug 23, 2021"
2007,0x8262ec,0,1,63.99,218933.0,0.0,0.0,"Aug 23, 2021","Aug 23, 2021"
2008,0x391a1f,0,1,8.75,29937.0,0.0,0.0,"Feb 15, 2021","Feb 15, 2021"
2009,0xcacb99,0,1,0.0,0.0,0.0,0.0,none,none
2010,0x93e351,0,1,26.0,88955.0,0.0,0.0,"Mar 3, 2021","Mar 3, 2021"
2011,0x04e6f0,0,1,0.0,0.0,0.0,0.0,none,none
2012,0xeb1877,0,1,145.0,496097.0,0.0,0.0,none,none
